X.mOTUs2_clade	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [meta_mOTU_v3_13808]	0	0	0	0.0013676625	0.0007171248	0.001474865	0.0004704235	8.24845e-05	0	0	0	0	0	0.0001518202	0.0012748785	0.0003026782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [meta_mOTU_v3_14016]	0	0	7.49311e-05	0.0141164525	0.0014451761	0.0040716306	0.0027403693	0.0004083872	0	0	0	0	0	0	0.00113872	0.0073328065
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [meta_mOTU_v3_14132]	0	0	0	0.0001275167	0	0.0011864712	0.0012064841	0.0006542965	0	0	0	4.36444e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [meta_mOTU_v3_14325]	0.0001732801	0.000762444	0	0.0024233698	0.0006521289	0.0013611466	0.0012166218	0.0027851578	0.001366754	0.0003935307	0	4.53387e-05	0	0.0003621202	0.0007783612	0.0011423942
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [meta_mOTU_v3_14425]	0	0	0	0	0	0	0	0	0.0008456701	0	0.0002656711	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [meta_mOTU_v3_14503]	0	0	0	0.0006008235	0	0.0002535658	0.0019949258	0.0007638785	0	0	0	0	0	0	0.0050523721	0.0009122546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Intestinimonas	0	2.33756e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Intestinimonas|s__Intestinimonas butyriciproducens	0	2.33756e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.0002522344	0	0	0.005362035	0.003923946	0.0099954435	0	0.0001389008	0	0	0	5.70833e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae gen. incertae sedis	0	0	0	0	0	0	0	0.0001389008	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae gen. incertae sedis|s__Eubacteriaceae bacterium CHKCI005	0	0	0	0	0	0	0	0.0001389008	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.0002522344	0	0	0.005362035	0.003923946	0.0099954435	0	0	0	0	0	5.70833e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium species incertae sedis [meta_mOTU_v3_12314]	0	0	0	0.005362035	0.003923946	0.0076724577	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__uncultured Eubacterium sp. [meta_mOTU_v3_13063]	0	0	0	0	0	0	0	0	0	0	0	5.70833e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__uncultured Eubacterium sp. [meta_mOTU_v3_13514]	0.0002522344	0	0	0	0	0.0023229858	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.0271011234	0.0297234466	0.0790513003	0.109562623	0.1022918641	0.0996925855	0.0982881487	0.0768673897	0.1551767756	0.0195876215	0.022357955	0.0158955611	0.0679596446	0.0304181923	0.0419666143	0.2728550838
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0	0	0.0002859981	0	0.0001548919	0.0001442362	0	0	0	0	0.0005982162	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes hadrus	0	0	0	0	0	0	0	0	0	0	0	0.0002671721	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes hadrus	0	0	0	0	0	0	0	0	0	0	0	0.0003310441	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes species incertae sedis [ext_mOTU_v3_27007]	0	0	0	0.0002859981	0	0.0001548919	0.0001442362	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum	0	0	0	3.41329e-05	0	0.0002248446	0.000185433	0	0	0	0	0	0	0	0.0001403627	0.0003007285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum lactatifermentans	0	0	0	3.41329e-05	0	0.0002248446	0.000185433	0	0	0	0	0	0	0	0.0001403627	0.0003007285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.0125001495	0.0129068889	0.0557572416	0.0512661309	0.0377881913	0.0287009089	0.0438516898	0.029505626	0.0465045662	0.0091585467	0.0195477809	0.0073507961	0.030695651	0.0111132322	0.0162525689	0.113182285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia hansenii	8.01034e-05	0.0003446411	0.0005454517	5.38254e-05	5.89485e-05	5.5687e-05	0.0006605418	0.0001087302	0	0.0001408587	0.0001130851	0	0	0.0001513781	0.0002834782	9.94888e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia hydrogenotrophica	9.26482e-05	0	0	1.30468e-05	0	0	3.99694e-05	5.08882e-05	0.0028498225	6.38057e-05	0	2.75669e-05	0	0.0002404249	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia obeum/wexlerae	0	0	0.0339189097	0.018619027	0.0191659381	0.0078058781	0.0095372449	7.82351e-05	0	0	0.0128589607	0	0	0	0.0064904027	0.0021265917
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia producta	0	0	0	0	0	0	0	0	0	0	0	0	0.0049217105	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia sp. CAG:257	0.0022504038	0	0	0	0.0038916899	0.0011716625	0	0.0051136943	0	0	0	0.0025335999	0.0116926101	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia sp. Marseille-P3201T	0	0.000112428	0.0019725347	0.0022142775	0.0068694285	0.0019584918	0.0023952734	0.0030861568	0	0.0004267982	0.0011110761	0.0014710077	0	0.0020748954	8.24938e-05	0.0047298418
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_15352]	0	0	0	5.91693e-05	4.81489e-05	0	7.90065e-05	0	0	0	0	0	0	0	0	2.89584e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_15357]	0	0	0	9.92491e-05	3.22412e-05	0	6.72982e-05	0.0001609123	0	0	0	0	0	0	2.59904e-05	1.65271e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_15361]	0	0	0	3.06114e-05	0	0.0001239221	0.0007106556	7.57972e-05	0	0	0	0	0	0	0.0002148804	0.0782585678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_15403]	0	0	0	6.3294e-05	5.48448e-05	0.000216328	0.0001777446	0	0	0	0	0	0	0	3.00777e-05	6.40366e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_15422]	0	0.0008530097	0	0.0038854609	0.0001041231	0.0001077595	0.0005131229	0.0002413685	0.0021188076	0.0009316994	0	0.0005366289	5.33546e-05	0.0017384547	0.0012996718	0.0032896695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_15427]	0	0	0	0.0025363843	0.0002867385	0.0045524697	0.003773038	0.0002547267	0	7.76713e-05	0	7.67398e-05	0	0	0.0011706756	0.0104572678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_16128]	0.0019855466	0.00410537	0.0125579306	0.0177528776	0.0049717235	0.0081665144	0.0161455012	0.0066960765	0.0220955172	0.0005247595	0.0016746569	0.0007747398	0	0.0014782642	0.0035309689	0.0059772285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_16139]	0	0	0	0.0002569419	0	0.0003728609	0.0002159812	0	0	0	0	0	0	0	0.0004510886	0.0020643281
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_16211]	0	0	0	0.0003355189	9.77627e-05	0.0001740988	7.38258e-05	9.60089e-05	0	7.52714e-05	0	0.0001160699	0	0	0.0003589865	0.0003061984
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_16257]	0.0036275335	0	0	0	0	0	0	0	0.0042369942	0.0028484795	0.0001083832	0.0010924052	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_18123]	0.0023636762	0.001692953	0.0009755489	0.0003953015	0.000529739	0.0009679722	0.0008998173	0.0010181827	0.002329816	0.0014507039	0.0008465546	0.0003811533	0	0.002069434	0.000947941	0.0005270552
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia species incertae sedis [ext_mOTU_v3_26587]	0.0002087331	0.0003277537	0.0004159051	0.000996383	0.0001838506	0.0008517565	0.0013920186	0.0006410029	0.0010915895	0.0007656936	7.36692e-05	0.0002085929	0.0009744427	0.0006685889	0.0011504225	0.0009912134
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__[Ruminococcus] gnavus	0.0018420172	0.0054707334	0.0053524129	0.0036012569	0.0014501331	0.0012724081	0.0061370891	0.0118838457	0.0015933006	0.0010746899	0.0024854632	0.0001004419	0.0121213431	0.0025629445	0.0001924974	0.0012991989
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__[Ruminococcus] torques	4.94875e-05	0	1.8548e-05	0.0003535054	4.28808e-05	0.0009030993	0.0010335611	0	0.0101887187	0.0007781155	0.0002759319	3.18499e-05	0.00093219	0.0001288474	2.29934e-05	0.0029461129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0	0	0	5.43251e-05	1.52773e-05	4.21584e-05	2.73256e-05	0	0	0	0	0	0	0	1.7914e-05	2.11781e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus sp.	0	0	0	5.43251e-05	1.52773e-05	4.21584e-05	2.73256e-05	0	0	0	0	0	0	0	1.7914e-05	2.11781e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0	0	0.0035495358	0.0065797943	0.0017894791	0.007513302	0.0001699386	7.76248e-05	0.0021486058	0.0013619627	0.0009479111	0	0	0	0.0011175856	0.0091115003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea formicigenerans	0	0	0.003128769	0.0023209071	0.0005779157	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea sp. CAG:317	0	0	0.0004207668	0.0042588872	0.0012115635	0.0060491905	0	0	0.0021486058	0.0013619627	0.0009479111	0	0	0	0	0.000605978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea species incertae sedis [ext_mOTU_v3_24600]	0	0	0	0	0	0.0014641114	0.0001699386	7.76248e-05	0	0	0	0	0	0	0.0011175856	0.0085055223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	0.0009225926	0.0011167323	0.0001437478	0.0024011927	0.0010492421	0.0020501935	0.00121996	0.0022178943	0.0064795009	0.0002705102	2.72714e-05	0.0005071508	0.0019951595	0.0005681194	0.0009724386	0.0042765457
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium species incertae sedis [ext_mOTU_v3_26257]	0.0003935132	0	0	0.0003440587	0.0005740875	0.0004329013	0.0003385995	0.0004940765	0	0.000179296	0	0.0002256857	0	0	0.0006717356	0.0006754854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] asparagiforme/lavalense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76123e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] clostridioforme	0	0	0	0	1.17646e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] clostridioforme/bolteae	0	2.27754e-05	0	0	0	0	0	0	7.62787e-05	0	0	0	0.0019951595	0	2.09001e-05	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] glycyrrhizinilyticum	0.0005290794	0.0010721231	0.0001437478	0.0020571341	0.00046339	0.0016172921	0.0008813605	0.0017238178	0.0064032222	9.12142e-05	2.72714e-05	0.000281465	0	0.0005681194	0.0002798029	0.003563448
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] scindens	0	2.18337e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis	0.0124647048	0.0145034871	0.0061923758	0.0330633045	0.024620648	0.0294720523	0.0494807778	0.01982463	0.0298597368	0.0074782396	0.0018349917	0.0073953088	0.0343957422	0.0177231834	0.0230137658	0.0760125966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15356]	0	0	0	9.9036e-06	1.17897e-05	0	0	0	0	0	0	0	0	0	0	3.09389e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15369]	0	0	0	0.0002461971	3.02151e-05	0.0003336151	0.0001476516	6.50043e-05	0	0	0	0	0	0	0.0001112496	0.0012952039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15384]	0	0	0	3.55879e-05	0	0.0003621713	0	7.27303e-05	0.0001070933	0	0	0	0	0	0.000238651	0.0142878654
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15387]	0	0	0.0003690584	0.0008347886	0.0001040512	0.0010097035	0.0020483143	0.0003967506	0	0.0002392787	0	0.000260925	0	0	0.000565715	0.000613256
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15388]	0.0006940768	0	0.0004705043	0.0024043825	0.0024123346	0.0010208112	0.0052924217	0.0072847932	0.0105472918	0.00100664	0.0002405245	0.0001267325	0	0.0023304941	0.00208749	0.0169702051
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15389]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67515e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15397]	0	0	0	2.70833e-05	1.87754e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15400]	0	0	0	0.0042793275	5.49503e-05	0.0001097927	0.0128808654	0	0	0	0	4.3065e-05	0	0	0.0005125563	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15406]	0	0	6.68552e-05	0.0008907438	0	0	0.0025733561	0	0	0	0	0	0.0145804543	0	6.24272e-05	0.0026526311
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_15420]	0.0002712696	0	0	3.0958e-05	7.37249e-05	0.0089888164	0.015863353	0.0005910675	0	0	0	0	0	0	0.0012714402	0.0029575974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16132]	0.0002111816	0	0.0008714716	0.0041549513	0.0086085294	0.0047221999	0.0031206631	0.0037963956	0.0093920666	0.0002753602	0	5.08436e-05	0	0.0007890893	0.0124259683	0.0176713333
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16133]	0	0	0.001914912	0.0042624836	0.0036923435	0.0090039614	0.0045498477	0.0030301392	0	0	0	4.48168e-05	0	0	0.002982991	0.0149791468
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16221]	0.0009559237	0.0051581584	0.0009333721	0.0014398464	0.0010997561	0.0014836844	0.0005339284	0.0011054303	0.0020035225	0.0006922886	7.75651e-05	0.0004645095	0	0.0075514134	0.0009969607	0.0017436285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16253]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59575e-05	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16296]	0.0008415217	0.0014064568	0	0	0	0	0	0	0	0.0020133377	0.0001150039	0.0005005696	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16311]	0.007302294	0.0058356378	0	0	0	0	0	0	0.0032238731	0.0023345472	0.000726217	0.0042852509	0	0.0044574876	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_16337]	0.0004754633	0	0	0	0	0	0	0	0.0027805536	0.000175057	5.03906e-05	0.0009302613	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_17781]	0.001712974	0.0021032341	0.0015662023	0.006982462	0.0041153011	0.0019928362	0.0024703766	0.003482319	0.001805336	0.0007417303	0.0005173057	0.0006883345	0.0198152879	0.002594699	0.0017423591	0.0021610512
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [ext_mOTU_v3_26654]	0	0	0	0	2.89799e-05	0.0004444603	0	0	0	0	0.0001079849	0	0	0	0	0.0005929876
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [meta_mOTU_v3_12240]	0	0	0	0.0072534621	0.004187807	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae gen. incertae sedis|s__Lachnospiraceae species incertae sedis [meta_mOTU_v3_12377]	0	0	0	0.0002111269	0.0001820896	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter	0.0001535457	0	0	8.39914e-05	0	0.0002120914	0.000131483	5.9867e-05	0.0003200666	4.86852e-05	0	4.40892e-05	0	0.0002880104	0.0001478481	2.86727e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter massiliensis	0.0001535457	0	0	8.39914e-05	0	0.0002120914	0.000131483	5.9867e-05	0.0003200666	4.86852e-05	0	4.40892e-05	0	0.0002880104	0.0001478481	2.86727e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Merdimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50069e-05	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Merdimonas|s__Merdimonas faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50069e-05	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0	0	0.0002819081	0.0045492316	0.0159367294	0.0017836441	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium species incertae sedis [ext_mOTU_v3_17555]	0	0	0	0	7.19585e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium species incertae sedis [ext_mOTU_v3_17556]	0	0	0.0002819081	0.0045338769	0.0158480777	0.0017836441	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium species incertae sedis [ext_mOTU_v3_17557]	0	0	0	1.53547e-05	1.66932e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.0010601308	0.0011963383	0.0129927808	0.0111259625	0.0205837055	0.0291388688	0.0026588676	0.0251817476	0.0414831542	0.0012696771	0	0	0.0008730919	0.0007256468	1.90929e-05	0.0692493495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia species incertae sedis [ext_mOTU_v3_15381]	0	0	0.0004096326	0.000217675	0.001574788	0.0011154455	9.12846e-05	0.0003058614	0.0007295199	0	0	0	5.52511e-05	0	0	0.0029251497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia species incertae sedis [ext_mOTU_v3_15382]	0.0010601308	0.0011963383	0.0125831482	0.0109082874	0.0190089174	0.0280234233	0.002567583	0.0248758863	0.0407536343	0.0012696771	0	0	0.0008178407	0.0007256468	1.90929e-05	0.0663241998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella	0	0	0.0001337103	0.0001185591	0.0005085914	0.0003996296	0.0004184372	0	0.0283811451	0	0	0	0	0	0.0002700309	0.0006722275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella nexilis	0	0	0.0001337103	2.72028e-05	0.0005085914	0.0001646485	0	0	0.0283811451	0	0	0	0	0	1.03724e-05	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella species incertae sedis [meta_mOTU_v3_12266]	0	0	0	9.13563e-05	0	0.0002349811	0.0004184372	0	0	0	0	0	0	0	0.0002596585	0.0006722275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.0071316672	0.0034465727	0.0007933766	0.0135496095	0.0098392941	0.011527981	0.0029965058	0.0058192168	0.004308149	0.0056606284	0.0010325972	0.0050575837	0	0.0027147607	0.0037228812	0.0018020941
